City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,28.46,85,6,2.76,US,1724889266
1,waitangi,-43.9535,-176.5597,11.55,92,83,10.47,NZ,1724889267
2,ancud,-41.8697,-73.8203,9.76,83,3,1.91,CL,1724888872
3,chibougamau,49.9168,-74.3659,13.79,58,0,2.57,CA,1724888940
4,sao vicente,-23.9631,-46.3919,17.77,26,74,1.16,BR,1724889255
5,san felipe,10.3399,-68.7425,24.01,81,65,1.56,VE,1724889272
6,port saint john's,-31.6229,29.5448,12.16,47,10,7.84,ZA,1724889273
7,woodhaven,42.1389,-83.2416,25.57,91,100,6.69,US,1724889274
8,kodiak,57.79,-152.4072,12.73,76,100,0.0,US,1724889275
9,coahuayana de hidalgo,18.7,-103.6583,26.75,90,100,1.28,MX,1724889276
10,beyneu,45.3167,55.2,21.83,29,0,2.56,KZ,1724889278
11,ilulissat,69.2167,-51.1,5.01,87,75,1.54,GL,1724889279
12,punta arenas,-53.15,-70.9167,3.06,87,40,9.77,CL,1724889133
13,tazovsky,67.4667,78.7,9.96,90,54,2.62,RU,1724889281
14,bredasdorp,-34.5322,20.0403,4.1,77,51,3.65,ZA,1724889282
15,port-aux-francais,-49.35,70.2167,5.69,97,100,16.0,TF,1724889283
16,fisterra,42.9049,-9.2629,18.59,84,71,7.83,ES,1724888845
17,bilibino,68.0546,166.4372,4.06,66,99,1.97,RU,1724889102
18,fort st. john,56.2499,-120.8529,22.94,40,20,7.2,CA,1724888511
19,abepura,-2.6333,140.5833,27.45,78,20,1.54,ID,1724889161
20,isiro,2.7739,27.616,18.99,99,98,0.32,CD,1724889289
21,senanga,-16.1167,23.2667,16.1,17,36,1.58,ZM,1724889290
22,novodvinsk,64.4165,40.8122,11.86,78,100,2.33,RU,1724889291
23,polyarnyy,69.1989,33.4478,11.56,76,93,3.01,RU,1724889292
24,papatowai,-46.5619,169.4708,12.17,62,35,6.14,NZ,1724888877
25,yellowknife,62.456,-114.3525,20.79,65,75,4.12,CA,1724889294
26,rio grande,-32.035,-52.0986,13.01,86,17,6.04,BR,1724888744
27,nyurba,63.2842,118.3319,10.55,61,99,2.14,RU,1724889296
28,chonchi,-42.6128,-73.8092,8.95,97,35,2.03,CL,1724889298
29,portland,45.5234,-122.6762,26.12,43,20,5.14,US,1724888628
30,saint-pierre,-21.3393,55.4781,18.82,63,0,2.57,RE,1724889300
31,qaqortoq,60.7167,-46.0333,7.81,99,100,5.97,GL,1724889301
32,whitehorse,60.7161,-135.0538,15.57,49,75,5.14,CA,1724889302
33,kambove,-10.8764,26.5969,18.01,32,9,1.59,CD,1724889303
34,sisimiut,66.9395,-53.6735,4.51,95,100,6.22,GL,1724889304
35,lihue,21.9789,-159.3672,27.77,71,100,6.17,US,1724889305
36,adamstown,-25.066,-130.1015,18.72,71,45,2.78,PN,1724889306
37,edinburgh of the seven seas,-37.0676,-12.3116,13.99,91,67,10.1,SH,1724889308
38,college,64.8569,-147.8028,17.47,60,75,1.54,US,1724889309
39,vadso,70.0744,29.7487,8.09,87,75,3.09,NO,1724888819
40,tiksi,71.6872,128.8694,3.22,76,62,5.82,RU,1724889311
41,mata-utu,-13.2816,-176.1745,26.08,80,8,6.25,WF,1724889312
42,ust-nera,64.5667,143.2,5.23,97,100,3.53,RU,1724889313
43,orchard mesa,39.043,-108.5523,33.56,16,98,3.58,US,1724889314
44,punta del este,-34.9667,-54.95,11.06,97,0,6.17,UY,1724889315
45,emmett,43.8735,-116.4993,24.8,12,0,3.09,US,1724889156
46,lebu,-37.6167,-73.65,8.95,88,0,8.03,CL,1724889068
47,thompson,55.7435,-97.8558,22.09,49,75,3.6,CA,1724888905
48,coquimbo,-29.9533,-71.3436,11.85,79,100,3.09,CL,1724889087
49,keflavik,64.0049,-22.5624,7.24,87,40,5.14,IS,1724888732
50,anadyr,64.75,177.4833,12.28,81,20,2.0,RU,1724888647
51,talnakh,69.4865,88.3972,11.66,96,90,2.57,RU,1724889323
52,vilyuysk,63.7553,121.6247,9.65,49,28,1.41,RU,1724889324
53,berezovyy,51.6667,135.7,23.4,59,87,3.0,RU,1724889325
54,point pedro,9.8167,80.2333,27.39,82,100,5.28,LK,1724889327
55,grytviken,-54.2811,-36.5092,1.91,94,100,1.8,GS,1724889328
56,shchyolkino,45.4291,35.8223,24.4,74,100,5.69,UA,1724889329
57,ghadamis,30.1337,9.5007,28.18,47,0,6.22,LY,1724889295
58,puerto natales,-51.7236,-72.4875,3.85,74,83,6.82,CL,1724889331
59,ribeira grande,38.5167,-28.7,22.65,79,34,3.13,PT,1724889332
60,madang,-5.2246,145.7966,29.62,67,96,1.95,PG,1724889333
61,bathsheba,13.2167,-59.5167,28.33,79,18,3.5,BB,1724889334
62,blackmans bay,-43.0167,147.3167,10.41,72,93,1.34,AU,1724889335
63,saint-joseph,-21.3667,55.6167,18.21,70,38,6.79,RE,1724889337
64,port lincoln,-34.7333,135.8667,13.51,67,0,6.52,AU,1724888752
65,nuuk,64.1835,-51.7216,7.34,93,75,3.09,GL,1724889108
66,margaret river,-33.95,115.0667,13.01,76,93,11.41,AU,1724889340
67,serenje,-13.2325,30.2352,16.39,35,1,2.34,ZM,1724889341
68,vorgashor,67.5833,63.95,6.81,95,57,4.63,RU,1724889342
69,argo,37.6333,22.7333,24.53,56,39,1.92,GR,1724889343
70,nabire,-3.3667,135.4833,25.51,91,92,2.07,ID,1724889344
71,la ligua,-32.4524,-71.2311,9.53,93,32,0.3,CL,1724889345
72,puerto colombia,10.9878,-74.9547,30.05,84,41,7.39,CO,1724889347
73,namibe,-15.1961,12.1522,17.41,91,100,1.84,AO,1724889348
74,hammerfest,70.6634,23.6821,11.25,87,75,1.03,NO,1724889349
75,port elizabeth,-33.918,25.5701,8.51,77,57,3.58,ZA,1724889350
76,souillac,-20.5167,57.5167,22.21,60,75,5.14,MU,1724889152
77,hajan,34.3,74.6167,17.23,98,100,1.12,IN,1724889352
78,port mathurin,-19.6833,63.4167,21.75,65,25,12.99,MU,1724889079
79,puerto baquerizo moreno,-0.9,-89.6,19.91,93,51,5.1,EC,1724889076
80,faya-largeau,17.9257,19.1043,29.12,59,58,3.35,TD,1724889355
81,east london,-33.0153,27.9116,11.33,50,1,9.38,ZA,1724889357
82,enewetak,11.3474,162.3373,28.81,75,82,4.0,MH,1724889358
83,pemangkat,1.1667,108.9667,25.14,90,100,8.26,ID,1724889359
84,albany,42.6001,-73.9662,21.86,76,86,2.62,US,1724889343
85,wailua homesteads,22.0669,-159.378,27.44,74,100,6.17,US,1724889361
86,sijunjung,-0.6876,100.9537,21.43,83,99,0.51,ID,1724889362
87,west island,-12.1568,96.8225,25.99,78,20,5.66,CC,1724889363
88,tura,25.5198,90.2201,24.26,89,31,1.21,IN,1724889365
89,touros,-5.1989,-35.4608,24.16,79,62,6.87,BR,1724889367
90,meulaboh,4.1363,96.1285,23.93,87,98,1.78,ID,1724889368
91,prado,-17.3411,-39.2208,22.29,71,51,5.2,BR,1724889369
92,pisco,-13.7,-76.2167,17.03,77,20,6.69,PE,1724889370
93,kingston,17.997,-76.7936,30.53,70,40,4.12,JM,1724889178
94,nova sintra,14.8667,-24.7167,26.81,79,76,3.98,CV,1724889372
95,tolanaro,-25.0319,46.9987,18.46,85,0,6.04,MG,1724889373
96,villa gesell,-37.2639,-56.973,9.23,81,73,4.94,AR,1724889095
97,colonia,50.9333,6.95,22.76,72,0,1.03,DE,1724889375
98,alotau,-10.3069,150.4462,27.75,68,69,2.93,PG,1724888779
99,mount pearl,47.5166,-52.7813,20.08,87,100,7.72,CA,1724889086
100,mareeba,-17.0,145.4333,25.13,70,6,3.69,AU,1724889379
101,hawaiian paradise park,19.5933,-154.9731,27.73,88,75,5.14,US,1724889380
102,dudinka,69.4058,86.1778,9.96,94,97,3.25,RU,1724889381
103,acapulco de juarez,16.8634,-99.8901,30.9,66,75,2.57,MX,1724888762
104,la'ie,21.6477,-157.9253,29.66,78,35,2.68,US,1724889383
105,flin flon,54.7682,-101.865,20.91,60,75,4.63,CA,1724889384
106,georgetown,5.4112,100.3354,25.96,87,40,2.06,MY,1724889188
107,isangel,-19.55,169.2667,24.06,60,75,2.06,VU,1724889387
108,isafjordur,66.0755,-23.124,3.7,83,35,2.28,IS,1724889388
109,iqaluit,63.7506,-68.5145,8.85,66,75,10.29,CA,1724888854
110,trinidad,-14.8333,-64.9,27.99,47,7,0.0,BO,1724889390
111,selfoss,63.9331,-20.9971,7.8,89,93,4.3,IS,1724889391
